sample_index,true_cfr_power,rms_scale,absolute_prediction_mse,existing_nmse_db,total_uncertainty,normalized_absolute_prediction_mse,normalized_nmse_db,normalized_total_uncertainty,aleatoric,epistemic,normalized_aleatoric,normalized_epistemic,regime
15,2.6157150268554688,1.6173171997070312,0.15405015647411346,-18.319992065429688,0.028387557715177536,0.058894094079732895,-18.319992065429688,0.010852694511413574,0.024996209889650345,0.003391347359865904,0.00955616682767868,0.0012965278001502156,ID-Easy 20 ns
16,0.7555476427078247,0.8692224621772766,0.04899299144744873,-17.90252113342285,0.021581988781690598,0.06484434008598328,-17.90252113342285,0.02856469713151455,0.019189029932022095,0.00239295931532979,0.025397511199116707,0.0031671852339059114,ID-Easy 20 ns
17,0.792253315448761,0.8900861144065857,0.05530858412384987,-17.584712982177734,0.02228490635752678,0.06981173902750015,-17.584712982177734,0.02812851220369339,0.019795648753643036,0.0024892573710530996,0.024986514821648598,0.003141996683552861,ID-Easy 20 ns
18,0.8883494138717651,0.9425228834152222,0.05292113870382309,-18.270397186279297,0.02524762600660324,0.05957244336605072,-18.270397186279297,0.0284208282828331,0.0223145242780447,0.0029331024270504713,0.025119084864854813,0.0033017441164702177,ID-Easy 20 ns
19,1.1373186111450195,1.0664514303207397,0.06389395892620087,-18.52596092224121,0.02320750616490841,0.0561794750392437,-18.52596092224121,0.02040545642375946,0.020495109260082245,0.0027123973704874516,0.018020551651716232,0.002384905470535159,ID-Easy 20 ns
20,0.5716480612754822,0.7560741305351257,0.04360125958919525,-17.195045471191406,0.019585125148296356,0.07627289742231369,-17.195045471191406,0.03426080942153931,0.017455117776989937,0.0021300078369677067,0.03053472749888897,0.0037260823883116245,ID-Easy 20 ns
21,0.8588480949401855,0.9267405867576599,0.05189315974712372,-18.208602905273438,0.02270584926009178,0.060421817004680634,-18.208602905273438,0.026437560096383095,0.0200360044836998,0.0026698445435613394,0.023328926414251328,0.0031086341477930546,ID-Easy 20 ns
22,0.4071824550628662,0.638108491897583,0.028904298320412636,-17.51197052001953,0.021437106654047966,0.07098611444234848,-17.51197052001953,0.0526474229991436,0.01905657723546028,0.002380529884248972,0.04680107533931732,0.005846346728503704,ID-Easy 20 ns
23,1.4350922107696533,1.1979533433914185,0.06932301819324493,-19.17991065979004,0.025761153548955917,0.04830561950802803,-19.17991065979004,0.017950868234038353,0.02264823392033577,0.003112918697297573,0.01578172668814659,0.002169142011553049,ID-Easy 20 ns
24,0.7269750833511353,0.8526283502578735,0.059693701565265656,-16.877344131469727,0.02161252684891224,0.08211243897676468,-16.877344131469727,0.029729390516877174,0.019136611372232437,0.002475914778187871,0.02632361464202404,0.003405776573345065,ID-Easy 20 ns
