delay_ns,scope,scope_ordinal,regime,ng,metric,mean,median,q90,q95,q99,finite
110,partial_medium,2,far1ms,16,nmse_omitted_db,1.8467111978530883,1.8498192429542542,2.083924722671509,2.1535242319107057,2.257043459415436,True
110,partial_medium,2,far1ms,16,epistemic,756.9957086725217,6.275344610214233,389.23246154785176,1082.611376953124,11901.366835937495,True
110,partial_medium,2,far1ms,16,aleatoric,0.1037659187912941,0.09643412008881569,0.14217549711465835,0.16598068848252295,0.2170697809755802,True
110,partial_medium,2,far1ms,32,nmse_omitted_db,2.026450636506081,2.017254590988159,2.3034564733505247,2.3896851539611816,2.5304317712783813,True
110,partial_medium,2,far1ms,32,epistemic,2404.7752130725903,43.19643783569336,1555.2597167968754,4665.120947265621,40127.464609374976,True
110,partial_medium,2,far1ms,32,aleatoric,0.20200366215407847,0.18093480169773102,0.28869289457798003,0.34165199846029276,0.5448775494098662,True
110,partial_large,3,target,4,nmse_omitted_db,-23.900900983810423,-23.929638862609863,-23.29134750366211,-23.08166790008545,-22.786105880737306,True
110,partial_large,3,target,4,epistemic,0.002378580072429031,0.002271373523399234,0.0030606378335505725,0.003398399450816214,0.0043940210808068505,True
110,partial_large,3,target,4,aleatoric,0.016212819822132588,0.01606806553900242,0.017808600328862667,0.018627407774329186,0.020270683486014605,True
110,partial_large,3,target,8,nmse_omitted_db,-21.42336149215698,-21.41458225250244,-20.870961570739745,-20.752891254425048,-20.46553804397583,True
110,partial_large,3,target,8,epistemic,0.00366927206213586,0.0035266109043732285,0.00455870945006609,0.005027306172996758,0.006559576578438282,True
110,partial_large,3,target,8,aleatoric,0.027071541059762238,0.026842329651117325,0.029322179965674877,0.030248377565294502,0.03262904401868581,True
110,partial_large,3,target,16,nmse_omitted_db,-18.683670473098754,-18.67686653137207,-18.124143218994142,-17.915004158020018,-17.6161256980896,True
110,partial_large,3,target,16,epistemic,0.007160853409674019,0.006837806198745966,0.008860086742788553,0.009909540554508565,0.01327586455270648,True
110,partial_large,3,target,16,aleatoric,0.045993944182991985,0.04562784172594547,0.04947066083550453,0.05108891855925321,0.054400357902050014,True
110,partial_large,3,target,32,nmse_omitted_db,-15.606498126983643,-15.648765563964844,-14.853401947021485,-14.622041416168214,-14.230620431900025,True
110,partial_large,3,target,32,epistemic,0.025050603365525604,0.02230268344283104,0.03476434163749219,0.041254665702581406,0.06396163322031492,True
110,partial_large,3,target,32,aleatoric,0.08446540151536465,0.08373333886265755,0.09193796068429946,0.09463052600622177,0.10238553680479527,True
110,partial_large,3,id20,4,nmse_omitted_db,-24.14831487464905,-24.14972686767578,-23.485997581481932,-23.293872451782228,-22.97234634399414,True
110,partial_large,3,id20,4,epistemic,0.001382047989172861,0.0012933432590216398,0.0018245898187160493,0.0020508413203060615,0.0025549380225129413,True
110,partial_large,3,id20,4,aleatoric,0.014844171022064983,0.014472288079559803,0.017102472856640814,0.01809621974825859,0.02059159897267818,True
110,partial_large,3,id20,8,nmse_omitted_db,-21.514916761398315,-21.518685340881348,-20.899586486816407,-20.704837989807128,-20.346804542541506,True
110,partial_large,3,id20,8,epistemic,0.002538627695525065,0.0023527616867795587,0.0033617675537243484,0.003837696486152708,0.004888597973622381,True
110,partial_large,3,id20,8,aleatoric,0.026330278519541027,0.02565374318510294,0.03002192936837673,0.031667056493461125,0.03504048496484757,True
110,partial_large,3,id20,16,nmse_omitted_db,-18.849871622085573,-18.837090492248535,-18.23221607208252,-18.038807582855224,-17.68410005569458,True
110,partial_large,3,id20,16,epistemic,0.004956769815180451,0.004492762731388211,0.006810716772451997,0.007936700154095887,0.010865083383396262,True
110,partial_large,3,id20,16,aleatoric,0.044023594032973054,0.04289594292640686,0.050065836682915685,0.05261927712708711,0.05845021013170481,True
110,partial_large,3,id20,32,nmse_omitted_db,-16.17125093460083,-16.162535667419434,-15.500472068786621,-15.32721700668335,-14.947199058532714,True
110,partial_large,3,id20,32,epistemic,0.013835891190450639,0.01167522743344307,0.020471367053687576,0.02684925040230154,0.045590507425367834,True
110,partial_large,3,id20,32,aleatoric,0.07724279168993235,0.07534174248576164,0.08839696049690246,0.09284151121973988,0.10629420667886733,True
110,partial_large,3,id80,4,nmse_omitted_db,-24.286402919769287,-24.281435012817383,-23.729457664489747,-23.581940841674804,-23.276180057525636,True
110,partial_large,3,id80,4,epistemic,0.001761020773439668,0.0017058055964298546,0.0021814951207488774,0.002347925072535872,0.0027914044866338365,True
110,partial_large,3,id80,4,aleatoric,0.015128084811381996,0.014992364682257175,0.01673759799450636,0.017470899969339367,0.018836351726204157,True
110,partial_large,3,id80,8,nmse_omitted_db,-21.735847858428954,-21.719581604003906,-21.204170989990235,-21.073879528045655,-20.822259883880616,True
110,partial_large,3,id80,8,epistemic,0.0029728842452168463,0.00288145593367517,0.0035873881308361886,0.00393747417256236,0.004715535896830261,True
110,partial_large,3,id80,8,aleatoric,0.02606234654225409,0.02584493439644575,0.028275327757000923,0.02937360620126128,0.03157245736569166,True
110,partial_large,3,id80,16,nmse_omitted_db,-19.02194606590271,-19.03485679626465,-18.428615379333497,-18.237271213531493,-18.014140586853028,True
110,partial_large,3,id80,16,epistemic,0.006027381307445467,0.005780661245808005,0.007292009983211756,0.0081083242315799,0.009978387476876375,True
110,partial_large,3,id80,16,aleatoric,0.044826233241707085,0.0443853922188282,0.04836223870515823,0.050052843242883685,0.05368533417582512,True
110,partial_large,3,id80,32,nmse_omitted_db,-16.125488178253175,-16.121259689331055,-15.450044345855712,-15.26674132347107,-14.863723869323731,True
110,partial_large,3,id80,32,epistemic,0.01902567099407315,0.01744446810334921,0.025630111619830136,0.029343984834849818,0.04590548619627952,True
110,partial_large,3,id80,32,aleatoric,0.08153437248617411,0.08052453026175499,0.08897348418831826,0.09231404475867748,0.09960311137139798,True
110,partial_large,3,far1ms,4,nmse_omitted_db,0.2564106966610998,0.24208039045333862,0.4079554617404938,0.46034463346004484,0.5941489130258559,True
110,partial_large,3,far1ms,4,epistemic,0.0039029053252888843,0.003218049183487892,0.005495138047263027,0.007592170522548248,0.017095476426184177,True
110,partial_large,3,far1ms,4,aleatoric,0.016824451733380555,0.01658244337886572,0.01886983811855316,0.019686952605843543,0.02175141610205173,True
110,partial_large,3,far1ms,8,nmse_omitted_db,0.5923454353362322,0.5848525762557983,0.8511424601078034,0.9180513560771939,1.1227373874187467,True
110,partial_large,3,far1ms,8,epistemic,0.014373699164483696,0.009342672303318977,0.022444781661033638,0.03085746131837367,0.07574394248425954,True
110,partial_large,3,far1ms,8,aleatoric,0.036993155920878054,0.03632310591638088,0.042758455872535704,0.04484441671520471,0.05077921587973833,True
110,partial_large,3,far1ms,16,nmse_omitted_db,1.8510973094701766,1.8541183471679688,2.0925891399383545,2.1592894315719606,2.2682647037506105,True
110,partial_large,3,far1ms,16,epistemic,32.678932755477724,0.9199134707450867,27.842059516906737,68.98099594116202,540.1408709716793,True
110,partial_large,3,far1ms,16,aleatoric,0.09279154548048973,0.08839653804898262,0.12015833631157877,0.13545236587524412,0.16770682767033576,True
110,partial_large,3,far1ms,32,nmse_omitted_db,2.064513530731201,2.0560158491134644,2.341299533843994,2.430532681941986,2.5774027466773988,True
110,partial_large,3,far1ms,32,epistemic,202.7324907042198,8.05955171585083,186.40810241699225,467.02955474853457,3866.7626245117185,True
110,partial_large,3,far1ms,32,aleatoric,0.17284696392714977,0.1603713035583496,0.2339970350265503,0.2698711559176445,0.3610140803456305,True
110,full,4,target,4,nmse_omitted_db,-23.545891962051392,-23.5468807220459,-22.946286582946776,-22.69136724472046,-22.378027667999266,True
110,full,4,target,4,epistemic,0.0021918123182840645,0.0021165633806958795,0.00268949493765831,0.0029526398633606733,0.003523292192257941,True
110,full,4,target,4,aleatoric,0.016706469557248055,0.016502346843481064,0.018348659202456475,0.019138539116829632,0.020534562412649393,True
110,full,4,target,8,nmse_omitted_db,-21.217491470336913,-21.21888256072998,-20.626361465454103,-20.4729154586792,-20.195669345855713,True
110,full,4,target,8,epistemic,0.003710415319073945,0.003601050819270313,0.00449434258043766,0.004871488036587833,0.005805461131967602,True
110,full,4,target,8,aleatoric,0.02851492059789598,0.02829495631158352,0.030871823243796826,0.032015998661518094,0.034418885558843614,True
110,full,4,target,16,nmse_omitted_db,-18.59701763534546,-18.592199325561523,-17.987879753112793,-17.833087539672853,-17.538402481079103,True
110,full,4,target,16,epistemic,0.007214230320416391,0.006927882321178913,0.008857609983533622,0.009986590268090366,0.013206236446276307,True
110,full,4,target,16,aleatoric,0.04785092464089394,0.047402868047356606,0.051710376888513564,0.05355175621807575,0.05769301783293485,True
110,full,4,target,32,nmse_omitted_db,-15.4860182762146,-15.500847816467285,-14.752182483673096,-14.555161619186402,-14.08164728164673,True
110,full,4,target,32,epistemic,0.026554723054170608,0.023180129006505013,0.03682343922555447,0.04518297109752892,0.07879359468817695,True
110,full,4,target,32,aleatoric,0.08813631028681994,0.08729538321495056,0.0965027630329132,0.10024204924702644,0.1087083450704813,True
110,full,4,id20,4,nmse_omitted_db,-23.439648891448975,-23.449213981628418,-22.732685470581053,-22.517158031463623,-22.128294906616212,True
110,full,4,id20,4,epistemic,0.0016295521126594395,0.0015084351180121303,0.002236054418608546,0.0025472410721704363,0.0032855400443077085,True
110,full,4,id20,4,aleatoric,0.015599424341693521,0.015195844229310751,0.018248436972498894,0.019312223512679336,0.021571283880621194,True
110,full,4,id20,8,nmse_omitted_db,-20.982432508468627,-20.97606658935547,-20.322004127502442,-20.130947494506838,-19.76335687637329,True
110,full,4,id20,8,epistemic,0.002721191200078465,0.00251662265509367,0.003569833212532103,0.003993563540279865,0.005482614114880561,True
110,full,4,id20,8,aleatoric,0.026755557334050536,0.026062301360070705,0.030405421555042268,0.03200050201267003,0.036016289405524725,True
110,full,4,id20,16,nmse_omitted_db,-18.56150890350342,-18.560400009155273,-17.837258338928223,-17.631781482696532,-17.341800060272217,True
110,full,4,id20,16,epistemic,0.005189530078321695,0.004697134252637625,0.006941275019198657,0.008101810188964007,0.012692856090143322,True
110,full,4,id20,16,aleatoric,0.04443969279900193,0.04328199662268162,0.050645722076296806,0.0533205272629857,0.060822931230068204,True
110,full,4,id20,32,nmse_omitted_db,-15.8572119846344,-15.86323070526123,-15.130942344665527,-14.964295625686646,-14.621346998214722,True
110,full,4,id20,32,epistemic,0.016735793461091816,0.013435200322419405,0.025260291621088983,0.034139539673924434,0.07275158971548076,True
110,full,4,id20,32,aleatoric,0.08040475717931986,0.07840313762426376,0.0931696355342865,0.09892402999103068,0.11475638292729853,True
110,full,4,id80,4,nmse_omitted_db,-23.921966972351075,-23.916882514953613,-23.314983749389647,-23.16343812942505,-22.885202713012696,True
110,full,4,id80,4,epistemic,0.0017852350564207882,0.0017256896826438606,0.0021350967232137918,0.002336441993247717,0.002853399789892137,True
110,full,4,id80,4,aleatoric,0.015804042007774115,0.015632408671081066,0.017421374469995497,0.018346193525940177,0.0197697982378304,True
110,full,4,id80,8,nmse_omitted_db,-21.514298852920533,-21.51050853729248,-20.9663948059082,-20.766981220245363,-20.516163921356203,True
110,full,4,id80,8,epistemic,0.0030725273659918456,0.0029786156956106424,0.003650869755074382,0.003991043008863925,0.004861958054825663,True
110,full,4,id80,8,aleatoric,0.027268306707963347,0.027010836638510227,0.02967030368745327,0.03094555912539363,0.03355168767273426,True
110,full,4,id80,16,nmse_omitted_db,-18.91161655807495,-18.91897964477539,-18.27512264251709,-18.117700862884522,-17.812496223449706,True
110,full,4,id80,16,epistemic,0.005993061596993357,0.005759656196460128,0.007251992030069232,0.008117321832105517,0.010267913648858663,True
110,full,4,id80,16,aleatoric,0.045936010960489514,0.045575156807899475,0.04971865080296993,0.05160887446254492,0.05517426513135432,True
110,full,4,id80,32,nmse_omitted_db,-15.959906399726867,-15.97489070892334,-15.28160924911499,-15.076895380020142,-14.803362312316896,True
110,full,4,id80,32,epistemic,0.01967226684652269,0.017790363170206547,0.026690188050270083,0.03200115915387869,0.053591112084686754,True
