delay_ns,seed,scope,regime,ng,metric,mean,median,q90,q95,q99,finite
130,20260921,partial_small,id80,16,nmse_omitted_db,-18.599658126449587,-18.60169219970703,-18.036586570739747,-17.870044136047362,-17.595881729125978,True
130,20260921,partial_small,id80,16,epistemic,0.005495103975571692,0.0051861898973584175,0.007078922353684902,0.007922577112913132,0.010532487099990277,True
130,20260921,partial_small,id80,16,aleatoric,0.041866737945377826,0.04133491590619087,0.046195562556385995,0.04790225215256215,0.05216745719313624,True
130,20260921,partial_small,id80,32,nmse_omitted_db,-15.854095837783813,-15.861294269561768,-15.162848949432373,-14.966948986053467,-14.61149031639099,True
130,20260921,partial_small,id80,32,epistemic,0.021062125128507615,0.017717444337904453,0.030863921344280246,0.03907970469444991,0.0740144359320403,True
130,20260921,partial_small,id80,32,aleatoric,0.0790910921216011,0.07767142355442047,0.08896352052688598,0.09329570159316064,0.1048305892944336,True
130,20260921,partial_small,far1ms,4,nmse_omitted_db,0.2791366454492381,0.26565076410770416,0.4290908992290497,0.48590330034494406,0.6181134212017064,True
130,20260921,partial_small,far1ms,4,epistemic,0.003757219836348668,0.0031922846101224422,0.00561521272175014,0.007005863566882912,0.012719061188399801,True
130,20260921,partial_small,far1ms,4,aleatoric,0.017712013509497047,0.017501468770205975,0.0201011935248971,0.020998331531882287,0.023230006191879517,True
130,20260921,partial_small,far1ms,8,nmse_omitted_db,0.6015963640958071,0.58122119307518,0.8645735323429108,0.9592788815498354,1.1820360136032113,True
130,20260921,partial_small,far1ms,8,epistemic,0.011134432699624448,0.008242064155638218,0.01749277971684935,0.023957963101565855,0.05313766222447167,True
130,20260921,partial_small,far1ms,8,aleatoric,0.036840905744954945,0.03630012646317482,0.04294413030147553,0.04542520511895419,0.05074297610670329,True
130,20260921,partial_small,far1ms,16,nmse_omitted_db,2.026932699799538,2.034549593925476,2.259483623504639,2.317525577545166,2.4193410897254943,True
130,20260921,partial_small,far1ms,16,epistemic,26001.715533409388,121.37682723999023,15839.602636718868,49982.90566406251,419135.5171875003,True
130,20260921,partial_small,far1ms,16,aleatoric,0.1621732098683715,0.12586312741041183,0.23822764158248916,0.30063665211200713,0.5898366707563444,True
130,20260921,partial_small,far1ms,32,nmse_omitted_db,2.1390501126050947,2.1331294775009155,2.42223379611969,2.5127506494522094,2.6635159754753115,True
130,20260921,partial_small,far1ms,32,epistemic,1334904.4467272446,1979.895263671875,148788.62187500024,673233.5031250037,13146202.29000005,True
130,20260921,partial_small,far1ms,32,aleatoric,1.7942159808710219,0.3046681135892868,0.874348682165146,1.7152397751808175,15.210356616974021,True
130,20260921,partial_medium,target,4,nmse_omitted_db,-23.305992040634155,-23.307872772216797,-22.743777084350587,-22.56811876296997,-22.26810604095459,True
130,20260921,partial_medium,target,4,epistemic,0.0034228401872562243,0.003138854168355465,0.004808557266369463,0.005612165946513416,0.00816713551059366,True
130,20260921,partial_medium,target,4,aleatoric,0.01784342754278332,0.01766812801361084,0.01989352945238352,0.020694300625473262,0.022374368607997897,True
130,20260921,partial_medium,target,8,nmse_omitted_db,-20.806678339004517,-20.805835723876953,-20.27359981536865,-20.11228036880493,-19.84738000869751,True
130,20260921,partial_medium,target,8,epistemic,0.004966241146018729,0.004680899204686284,0.006643221480771899,0.007511372887529433,0.010189871024340396,True
130,20260921,partial_medium,target,8,aleatoric,0.029587648786604404,0.029358292929828167,0.03240311816334725,0.03350038081407547,0.03605212181806565,True
130,20260921,partial_medium,target,16,nmse_omitted_db,-18.059212062835694,-18.05915927886963,-17.500780487060545,-17.332373523712157,-17.03907974243164,True
130,20260921,partial_medium,target,16,epistemic,0.008753941660374402,0.008217048365622759,0.011644559167325496,0.013324790447950364,0.01800259364768867,True
130,20260921,partial_medium,target,16,aleatoric,0.04831114174202084,0.047891976311802864,0.052713207900524146,0.05463011264801026,0.05837682966142894,True
130,20260921,partial_medium,target,32,nmse_omitted_db,-15.043588545417785,-15.06363821029663,-14.287975978851318,-14.064516639709472,-13.577456798553467,True
130,20260921,partial_medium,target,32,epistemic,0.0440144451893866,0.03547554835677147,0.06923964694142348,0.09157316721975804,0.17108676254749408,True
130,20260921,partial_medium,target,32,aleatoric,0.09680060887634755,0.09560171514749527,0.10807960331439972,0.11266145668923855,0.12253912873566154,True
130,20260921,partial_medium,id20,4,nmse_omitted_db,-23.6233009765625,-23.62958526611328,-23.003445434570313,-22.82692356109619,-22.500723686218258,True
130,20260921,partial_medium,id20,4,epistemic,0.001316737977624871,0.0012300345115363598,0.0017273488570936028,0.0019693819922395055,0.0026557320519350475,True
130,20260921,partial_medium,id20,4,aleatoric,0.014831691157072783,0.014448567293584347,0.017170620895922185,0.01830907231196761,0.020885024610906848,True
130,20260921,partial_medium,id20,8,nmse_omitted_db,-21.213236426925658,-21.21025848388672,-20.58006935119629,-20.397220420837403,-20.10002737045288,True
130,20260921,partial_medium,id20,8,epistemic,0.0023514012745115905,0.002163183526135981,0.0031496995361521844,0.0036336625809781256,0.0052642734581604626,True
130,20260921,partial_medium,id20,8,aleatoric,0.025319913102313876,0.024685457348823547,0.029082483239471914,0.030939423479139805,0.03513958495110274,True
130,20260921,partial_medium,id20,16,nmse_omitted_db,-18.678357276153566,-18.67613697052002,-18.061049461364746,-17.88932523727417,-17.572774505615232,True
130,20260921,partial_medium,id20,16,epistemic,0.0042288373407907785,0.003759519662708044,0.005877824407070876,0.007084121718071402,0.011772188171744379,True
130,20260921,partial_medium,id20,16,aleatoric,0.040750684125721456,0.03959171660244465,0.047081293538212776,0.050345861166715626,0.05945860128849745,True
130,20260921,partial_medium,id20,32,nmse_omitted_db,-16.024077210617065,-16.00963306427002,-15.378904056549072,-15.20940957069397,-14.89586498260498,True
130,20260921,partial_medium,id20,32,epistemic,0.012837382196821272,0.01019626623019576,0.018074090406298638,0.02338238460943103,0.05226686201989656,True
130,20260921,partial_medium,id20,32,aleatoric,0.07648322293907404,0.07434027269482613,0.08927209228277207,0.09539299942553044,0.11338763028383259,True
