sample_index,nmse_omitted_db,aleatoric,epistemic,total_uncertainty,regime
91,-16.93218421936035,0.02000604383647442,0.002541805850341916,0.022547850385308266,ID-Hard 80 ns
92,-16.485586166381836,0.019113505259156227,0.002366004278883338,0.02147950977087021,ID-Hard 80 ns
93,-17.03681755065918,0.022062845528125763,0.00283981254324317,0.02490265853703022,ID-Hard 80 ns
94,-17.74351692199707,0.021535439416766167,0.002704970072954893,0.024240409955382347,ID-Hard 80 ns
95,-18.0333251953125,0.02127443626523018,0.0027336785569787025,0.024008113890886307,ID-Hard 80 ns
96,-16.165908813476562,0.01881747879087925,0.002343647414818406,0.021161125972867012,ID-Hard 80 ns
97,-16.478818893432617,0.02004699781537056,0.002525076735764742,0.022572074085474014,ID-Hard 80 ns
98,-16.3654842376709,0.017038198187947273,0.002050650306046009,0.019088849425315857,ID-Hard 80 ns
99,-17.837575912475586,0.01996510662138462,0.002496876288205385,0.02246198244392872,ID-Hard 80 ns
100,-17.215782165527344,0.018996018916368484,0.002331838943064213,0.021327856928110123,ID-Hard 80 ns
101,-16.291353225708008,0.01920742355287075,0.002411776455119252,0.021619200706481934,ID-Hard 80 ns
102,-16.32008171081543,0.019066419452428818,0.0023939211387187243,0.021460341289639473,ID-Hard 80 ns
103,-18.24618911743164,0.020986059680581093,0.0026366040110588074,0.0236226636916399,ID-Hard 80 ns
104,-17.51622772216797,0.02428746595978737,0.0031604385003447533,0.027447905391454697,ID-Hard 80 ns
105,-16.449649810791016,0.020262336358428,0.0025653024204075336,0.022827638313174248,ID-Hard 80 ns
106,-17.387279510498047,0.020935706794261932,0.002674172632396221,0.023609880357980728,ID-Hard 80 ns
107,-16.727760314941406,0.018444262444972992,0.0022875915747135878,0.02073185332119465,ID-Hard 80 ns
108,-17.33102035522461,0.02011531963944435,0.002535379957407713,0.02265070006251335,ID-Hard 80 ns
109,-16.636276245117188,0.01958637125790119,0.0024865414015948772,0.022072913125157356,ID-Hard 80 ns
110,-16.650882720947266,0.018676085397601128,0.0023044149857014418,0.02098049968481064,ID-Hard 80 ns
111,-16.838699340820312,0.018906159326434135,0.0023350673727691174,0.02124122716486454,ID-Hard 80 ns
112,-16.810935974121094,0.018786244094371796,0.002362406812608242,0.021148651838302612,ID-Hard 80 ns
113,-17.443695068359375,0.02061043307185173,0.0026010621804744005,0.023211495950818062,ID-Hard 80 ns
114,-18.151973724365234,0.021986614912748337,0.0028242275584489107,0.02481084316968918,ID-Hard 80 ns
115,-16.762020111083984,0.02002117596566677,0.002539240289479494,0.022560415789484978,ID-Hard 80 ns
116,-16.86833953857422,0.018861280754208565,0.0023254125844687223,0.021186692640185356,ID-Hard 80 ns
117,-17.424528121948242,0.02357807569205761,0.00307696801610291,0.02665504440665245,ID-Hard 80 ns
118,-17.203691482543945,0.019705994054675102,0.0024729815777391195,0.022178975865244865,ID-Hard 80 ns
119,-17.13328742980957,0.020864345133304596,0.00267034862190485,0.02353469282388687,ID-Hard 80 ns
120,-17.831052780151367,0.020439989864826202,0.002566790673881769,0.023006780073046684,ID-Hard 80 ns
121,-16.723541259765625,0.02119763381779194,0.00271150516346097,0.02390913851559162,ID-Hard 80 ns
122,-16.492555618286133,0.0210767462849617,0.0026857464108616114,0.023762492462992668,ID-Hard 80 ns
123,-17.40380859375,0.02200242131948471,0.002820141613483429,0.02482256293296814,ID-Hard 80 ns
124,-17.537960052490234,0.021177025511860847,0.002685030223801732,0.02386205643415451,ID-Hard 80 ns
125,-17.30038070678711,0.021541543304920197,0.002792557468637824,0.024334101006388664,ID-Hard 80 ns
126,-17.231163024902344,0.020101865753531456,0.002540991175919771,0.02264285646378994,ID-Hard 80 ns
127,-17.037437438964844,0.019744249060750008,0.00246636220254004,0.022210611030459404,ID-Hard 80 ns
128,-16.26659393310547,0.02049229107797146,0.00260737631469965,0.023099668323993683,ID-Hard 80 ns
129,-17.765718460083008,0.020682036876678467,0.0026011615991592407,0.023283198475837708,ID-Hard 80 ns
130,-17.038604736328125,0.021584760397672653,0.0027614436112344265,0.024346204474568367,ID-Hard 80 ns
131,-17.916454315185547,0.024564625695347786,0.0032001794315874577,0.027764804661273956,ID-Hard 80 ns
132,-17.784936904907227,0.022834254428744316,0.0029506690334528685,0.025784922763705254,ID-Hard 80 ns
133,-15.987797737121582,0.017791232094168663,0.002196888206526637,0.01998811960220337,ID-Hard 80 ns
134,-17.179536819458008,0.019331742078065872,0.0024061272852122784,0.021737869828939438,ID-Hard 80 ns
135,-17.592262268066406,0.020405618473887444,0.0025614751502871513,0.02296709269285202,ID-Hard 80 ns
136,-18.01491928100586,0.020038532093167305,0.0025149211287498474,0.022553453221917152,ID-Hard 80 ns
137,-16.079833984375,0.018861932680010796,0.0023301977198570967,0.02119212970137596,ID-Hard 80 ns
138,-17.22913932800293,0.022030601277947426,0.002800379181280732,0.024830980226397514,ID-Hard 80 ns
139,-17.43792724609375,0.02157564088702202,0.0027355696074664593,0.024311210960149765,ID-Hard 80 ns
140,-16.540525436401367,0.02474449947476387,0.0032504696864634752,0.027994969859719276,ID-Hard 80 ns
141,-17.342947006225586,0.019975487142801285,0.00251940730959177,0.02249489352107048,ID-Hard 80 ns
142,-17.952239990234375,0.019007742404937744,0.0023368492256850004,0.021344590932130814,ID-Hard 80 ns
143,-17.948144912719727,0.023862797766923904,0.003124698530882597,0.02698749676346779,ID-Hard 80 ns
144,-16.824695587158203,0.02087370678782463,0.002650324022397399,0.023524031043052673,ID-Hard 80 ns
145,-17.029035568237305,0.021658558398485184,0.002759852446615696,0.024418409913778305,ID-Hard 80 ns
146,-16.921728134155273,0.020338134840130806,0.002535049105063081,0.022873183712363243,ID-Hard 80 ns
147,-16.90178680419922,0.019600844010710716,0.0024448672775179148,0.022045711055397987,ID-Hard 80 ns
148,-17.778242111206055,0.02246537245810032,0.002879279898479581,0.02534465305507183,ID-Hard 80 ns
149,-18.150876998901367,0.022096434608101845,0.0028391655068844557,0.02493559941649437,ID-Hard 80 ns
150,-17.8422908782959,0.021719694137573242,0.0027518169954419136,0.02447151020169258,ID-Hard 80 ns
151,-16.540447235107422,0.017962956801056862,0.002205420983955264,0.020168377086520195,ID-Hard 80 ns
152,-17.489295959472656,0.024677816778421402,0.00326945330016315,0.02794726938009262,ID-Hard 80 ns
153,-17.87389373779297,0.0218778345733881,0.0028142742812633514,0.02469210885465145,ID-Hard 80 ns
154,-17.72138786315918,0.023205941542983055,0.0030314610339701176,0.026237402111291885,ID-Hard 80 ns
155,-17.25998306274414,0.022222021594643593,0.00283931870944798,0.025061341002583504,ID-Hard 80 ns
156,-17.578720092773438,0.01966759003698826,0.0024646357633173466,0.022132225334644318,ID-Hard 80 ns
157,-17.449796676635742,0.019416095688939095,0.002434522844851017,0.021850619465112686,ID-Hard 80 ns
158,-17.376163482666016,0.02040359564125538,0.002579951426014304,0.022983547300100327,ID-Hard 80 ns
159,-17.592267990112305,0.020844463258981705,0.002635006094351411,0.023479469120502472,ID-Hard 80 ns
160,-17.53904151916504,0.01935458928346634,0.0024112313985824585,0.021765820682048798,ID-Hard 80 ns
161,-18.045616149902344,0.020866183564066887,0.002651766873896122,0.023517951369285583,ID-Hard 80 ns
162,-17.680301666259766,0.024360859766602516,0.003212247509509325,0.027573106810450554,ID-Hard 80 ns
163,-17.773006439208984,0.020542344078421593,0.002611764706671238,0.023154109716415405,ID-Hard 80 ns
164,-17.67572593688965,0.02278600074350834,0.0029251480009406805,0.025711148977279663,ID-Hard 80 ns
165,-17.286376953125,0.019882142543792725,0.0024858966935425997,0.022368039935827255,ID-Hard 80 ns
166,-17.459749221801758,0.021009104326367378,0.0026658661663532257,0.023674970492720604,ID-Hard 80 ns
167,-17.4361572265625,0.024292683228850365,0.0031926631927490234,0.027485346421599388,ID-Hard 80 ns
168,-17.340469360351562,0.022322161123156548,0.0028668094892054796,0.025188971310853958,ID-Hard 80 ns
169,-16.54713249206543,0.019167879596352577,0.0023919616360217333,0.02155984193086624,ID-Hard 80 ns
170,-17.225812911987305,0.020865095779299736,0.002620856976136565,0.023485952988266945,ID-Hard 80 ns
171,-16.665746688842773,0.018852654844522476,0.002343718660995364,0.02119637280702591,ID-Hard 80 ns
172,-17.348840713500977,0.02360657788813114,0.003082521725445986,0.02668909914791584,ID-Hard 80 ns
173,-17.126632690429688,0.01991463452577591,0.002515853615477681,0.02243048883974552,ID-Hard 80 ns
174,-17.659648895263672,0.02196630835533142,0.0028186191339045763,0.024784928187727928,ID-Hard 80 ns
175,-16.87131690979004,0.018770035356283188,0.00230915448628366,0.02107919007539749,ID-Hard 80 ns
176,-17.90288734436035,0.023467419669032097,0.003024779725819826,0.026492198929190636,ID-Hard 80 ns
177,-16.82268524169922,0.02018669806420803,0.00254426384344697,0.022730961441993713,ID-Hard 80 ns
178,-17.124378204345703,0.019247256219387054,0.0023979097604751587,0.021645165979862213,ID-Hard 80 ns
179,-18.266542434692383,0.020920168608427048,0.002641209401190281,0.023561377078294754,ID-Hard 80 ns
180,-17.469192504882812,0.01919226162135601,0.0023969749454408884,0.021589236333966255,ID-Hard 80 ns
181,-16.850053787231445,0.02123812772333622,0.0026600195560604334,0.02389814704656601,ID-Hard 80 ns
182,-17.20157814025879,0.019332220777869225,0.0024011970963329077,0.021733418107032776,ID-Hard 80 ns
183,-17.103811264038086,0.019644564017653465,0.002420497126877308,0.022065062075853348,ID-Hard 80 ns
184,-18.27397346496582,0.024742495268583298,0.0032181136775761843,0.027960609644651413,ID-Hard 80 ns
185,-16.895858764648438,0.01884317956864834,0.002336734440177679,0.021179914474487305,ID-Hard 80 ns
186,-16.68149185180664,0.01892784796655178,0.0023504814598709345,0.02127832919359207,ID-Hard 80 ns
187,-17.20470428466797,0.021573461592197418,0.002799231791868806,0.02437269315123558,ID-Hard 80 ns
188,-17.33453941345215,0.022148454561829567,0.002869140123948455,0.025017594918608665,ID-Hard 80 ns
189,-16.888341903686523,0.020501239225268364,0.002603246131911874,0.023104485124349594,ID-Hard 80 ns
190,-17.32179069519043,0.023393290117383003,0.0030278756748884916,0.026421165093779564,ID-Hard 80 ns
191,-16.7445068359375,0.02105376310646534,0.002666652901098132,0.02372041530907154,ID-Hard 80 ns
192,-17.184612274169922,0.01891622506082058,0.002356895711272955,0.021273121237754822,ID-Hard 80 ns
193,-18.30217742919922,0.023951267823576927,0.0031346336472779512,0.02708590216934681,ID-Hard 80 ns
194,-17.06612205505371,0.022004002705216408,0.0028283880092203617,0.024832390248775482,ID-Hard 80 ns
195,-17.25156021118164,0.02191726118326187,0.0028064376674592495,0.024723699316382408,ID-Hard 80 ns
196,-17.59341812133789,0.020960776135325432,0.002655352232977748,0.02361612766981125,ID-Hard 80 ns
197,-17.32018280029297,0.019931809976696968,0.002503002295270562,0.022434812039136887,ID-Hard 80 ns
198,-17.5078125,0.021271875128149986,0.0026953404303640127,0.023967215791344643,ID-Hard 80 ns
199,-17.01205062866211,0.02019049972295761,0.0025281200651079416,0.02271861955523491,ID-Hard 80 ns
0,-14.868459701538086,0.018776865676045418,0.0023550651967525482,0.021131930872797966,OOD-Near 120 ns
1,-15.095315933227539,0.020234234631061554,0.0025311142671853304,0.022765349596738815,OOD-Near 120 ns
2,-15.308485984802246,0.0203730259090662,0.0025738233234733343,0.022946849465370178,OOD-Near 120 ns
3,-15.326367378234863,0.021531062200665474,0.00273520196788013,0.024266263470053673,OOD-Near 120 ns
4,-15.568979263305664,0.021732600405812263,0.0027918582782149315,0.02452445775270462,OOD-Near 120 ns
5,-14.47834587097168,0.019038992002606392,0.002354271477088332,0.021393263712525368,OOD-Near 120 ns
6,-16.01349639892578,0.02070085145533085,0.0026011427398771048,0.023301994428038597,OOD-Near 120 ns
7,-16.939786911010742,0.022883106023073196,0.0029411897994577885,0.025824295356869698,OOD-Near 120 ns
8,-16.499210357666016,0.02153014950454235,0.002735912799835205,0.024266062304377556,OOD-Near 120 ns
9,-15.546829223632812,0.021874161437153816,0.002828233176842332,0.024702394381165504,OOD-Near 120 ns
10,-15.483965873718262,0.02167312614619732,0.0027886121533811092,0.024461738765239716,OOD-Near 120 ns
11,-15.938214302062988,0.01921604387462139,0.0023952217306941748,0.02161126583814621,OOD-Near 120 ns
12,-16.67432403564453,0.023649662733078003,0.0030913050286471844,0.026740968227386475,OOD-Near 120 ns
13,-14.922609329223633,0.019336704164743423,0.002394723240286112,0.021731426939368248,OOD-Near 120 ns
14,-13.50187873840332,0.018418435007333755,0.0022670652251690626,0.020685499534010887,OOD-Near 120 ns
15,-14.721626281738281,0.01993599161505699,0.002488739788532257,0.02242473140358925,OOD-Near 120 ns
16,-15.997160911560059,0.023647133260965347,0.003103412687778473,0.02675054594874382,OOD-Near 120 ns
17,-14.663995742797852,0.019177138805389404,0.0024024834856390953,0.021579623222351074,OOD-Near 120 ns
18,-16.891494750976562,0.02471068874001503,0.0032600308768451214,0.02797072008252144,OOD-Near 120 ns
19,-15.915160179138184,0.01983959600329399,0.002486479701474309,0.02232607640326023,OOD-Near 120 ns
20,-15.593057632446289,0.019928861409425735,0.0025039042811840773,0.022432764992117882,OOD-Near 120 ns
21,-16.28034782409668,0.02106541581451893,0.0026777118910104036,0.023743128404021263,OOD-Near 120 ns
22,-13.856287002563477,0.019053569063544273,0.0023705800995230675,0.021424148231744766,OOD-Near 120 ns
23,-16.671022415161133,0.023098977282643318,0.002982546342536807,0.026081522926688194,OOD-Near 120 ns
24,-15.108981132507324,0.019334902986884117,0.0024083436001092196,0.021743247285485268,OOD-Near 120 ns
25,-14.968835830688477,0.020408205687999725,0.00257521728053689,0.022983422502875328,OOD-Near 120 ns
26,-15.284265518188477,0.018808038905262947,0.002334203105419874,0.02114224247634411,OOD-Near 120 ns
27,-16.160587310791016,0.022389888763427734,0.0028681443072855473,0.025258032605051994,OOD-Near 120 ns
28,-16.28353500366211,0.022017991170287132,0.0028142377268522978,0.0248322281986475,OOD-Near 120 ns
